#,Batch,Title,Author,Summary,Rooms,Resolutions,Concept Originality,Mechanics Originality,Interesting Details,Map Quality,Humor,Content Rating,Average,Source File,Rated At,Model
1,2010,Prisoners of the Mountain King,Moritz Mehlem,"The heroes, captured by a kobold king and his gang, must escape from an old dwarven mine turned dungeon. They begin unarmed in a cell and must navigate through guarded corridors, a haunted library, and hidden treasure rooms to win their freedom.",18,"Combat, Puzzles, Exploration, Roleplay",4.5,4.0,5.5,4.0,2.5,PG-13,4.5,E001_MoritzMehlem_PrisonersoftheMountainKing.md,2026-06-28T06:42:39.359Z,deepseek/deepseek-v4-flash
2,2010,The Reliquary of Adin,Eric Alderson,"A five-tier ziggurat monument in a lost desert town houses the legendary sword Lightening-brand, which can be claimed by those who overcome its guardians and traps. Each level presents a unique challenge, from stone golems to a frictionless floor and hidden pits, culminating in a riddle that reveals the sword's location.",5,"Combat, Puzzles, Traps, Exploration, Skill Challenges",6.0,7.0,7.0,6.0,1.0,PG,6.5,E002_EricCAlderson_ReliquaryofAdin.md,2026-06-28T06:42:32.707Z,deepseek/deepseek-v4-flash
3,2010,The Bride of Visbek,Maximilian Thieme,"A folk-horror dungeon where a bride's vengeful spirit haunts a stone circle and underground tunnels, with a demon of greed guarding her lost dowry. Players must navigate from the surface stones through caverns to defeat the demon and free the tortured soul.",5,"Combat, Stealth, Exploration, Puzzles",6.0,4.0,6.0,6.0,1.0,PG-13,5.5,E003_MaximilianThieme_TheBrideofVisbek.md,2026-06-28T06:42:34.075Z,deepseek/deepseek-v4-flash
4,2010,The Emboweled Coffin of the Tutelar Fiend,Lee Barber,"A maddening maze surrounds the ruins of a dark academy, leading to a tower dungeon where adventurers must navigate traps, monsters, and magical hazards to destroy the remains of the Tutelar Fiend and stop rampaging wizards.",7,"Combat, Traps, Puzzles, Exploration",6.5,7.0,8.5,8.0,2.5,PG-13,7.5,E004_LeeBarber_TheEmboweledCoffinoftheTutelarFiend.md,2026-06-28T06:42:37.210Z,deepseek/deepseek-v4-flash
5,2010,The Sunken Pegasus,Onno Tasler,"A sunken ship wreck at the bottom of the sea, cursed by Poseidon, holds a platinum statue of Pegasus guarded by sea zombies and a water weird. The party must navigate the wreck's three decks, dealing with undead, a giant crab, and the statue's guardian to claim the treasure.",6,"Combat, Diplomacy, Roleplay, Exploration",5.0,4.0,6.0,7.0,1.0,PG-13,5.5,E005_OnnoTasler_SunkenPegasus.md,2026-06-28T06:42:36.038Z,deepseek/deepseek-v4-flash
6,2010,The House of Lost and Found,Brenton Haerr,The House of Lost and Found is a haunted mansion presented as a stained parchment map with atmospheric narrative. Explorers must navigate rooms filled with eerie details and hidden passages.,8,"Exploration, Puzzles",7.0,3.5,8.0,5.0,1.0,PG-13,5.88,E006_BrentonHaerr_TheHouseofLostandFound.md,2026-06-28T06:42:42.017Z,deepseek/deepseek-v4-flash
7,2010,The Forgotten Tomb of the Warrior King,Paul Fini,"A forgotten warrior king's tomb buried beneath a mound, now overrun by monsters and cults. Adventurers must navigate natural caverns, water tunnels, and a mirror illusion to reach the final chamber guarded by undead.",21,"Combat, Traps, Exploration",4.0,3.0,5.0,7.0,1.0,PG-13,4.75,E007_PaulFini_TomboftheWarriorKing.md,2026-06-28T06:42:41.968Z,deepseek/deepseek-v4-flash
8,2010,Mine! Not Yours!,Rob Antonishen,"A mining settlement and underground mine infested with lizard-folk, featuring a kraken in a submerged lake. Players must clear the mine and rescue captured miners.",18,"Combat, Skill Challenges, Exploration, Roleplay, Social",4.5,3.0,5.0,6.0,1.5,PG-13,4.62,E008_RobAntonishen_MineNotYours.md,2026-06-28T06:42:40.710Z,deepseek/deepseek-v4-flash
9,2010,The Pit of the Mad Sage,Chris Maler,A high-level dungeon where adventurers must bypass a series of illusions guarding the pit of a reclusive wizard. The Mad Sage may trade his magical aid for a promise of secrecy or summon a demon if refused.,5,"Combat, Diplomacy, Puzzles, Exploration, Roleplay",6.5,5.0,7.0,7.0,2.0,PG-13,6.38,E009_ChrisMaler_ThePitoftheMadSage.md,2026-06-28T06:42:47.615Z,deepseek/deepseek-v4-flash
10,2010,Under the Mountain,Sven Vogler,"The party escapes harpies into a cave and must find another exit through three levels, facing traps and an undead ogre. They must navigate rooms with centipedes, dire rats, and a chain mechanism to lock the ogre away.",9,"Combat, Puzzles, Traps, Exploration",4.0,5.0,5.0,5.0,1.0,PG-13,4.75,E010_SvenVogler_UndertheMountain.md,2026-06-28T06:42:43.218Z,deepseek/deepseek-v4-flash
11,2010,Under Oak Hill,Gottfried Neuner,"A ruined castle occupied by bandits, a warlock, and a desecrated chapel threatens the valley, but a secret cave network offers a way in. The dungeon combines a bandit stronghold with a dwarven cave system filled with traps, monsters, and cursed treasures.",13,"Combat, Exploration, Skill Challenges, Traps",5.5,5.5,6.5,6.0,1.5,PG-13,5.88,E011_GottfriedNeuner_UnderOakHill.md,2026-06-28T06:42:48.627Z,deepseek/deepseek-v4-flash
12,2010,Epsilon Outpost – a Prefabricated Base in a Distant Galaxy,Scott Roberts,"A modular, hexagonal space base from a decommissioned colonial outpost is raided for supplies during a viral cataclysm. Room descriptions and random tables generate inhabitants, tech, and quirks for a sci-fi survival scenario.",13,"Combat, Exploration, Roleplay, Traps, Skill Challenges",7.5,7.0,6.0,6.5,2.0,PG-13,6.75,E012_ScottWylieRoberts_EpsilonOutpost.md,2026-06-28T06:42:51.319Z,deepseek/deepseek-v4-flash
13,2010,The Phantom Tribe's Groto,Caleb Jensen,A savage tribe of halfling raiders has established a camp within a dangerous hedge maze. Adventurers must infiltrate the maze and bring the leader Thenedral to justice.,11,"Combat, Traps, Exploration, Roleplay",6.0,5.0,6.0,5.0,2.0,PG-13,5.5,E013_CalebJensen_ThePhantomTribesGrotolate.md,2026-06-28T06:42:51.935Z,deepseek/deepseek-v4-flash
14,2010,Dungeons of the forsaken abbey,Gabriel P,"The ruins of an abbey conceal corrupted catacombs and caves where monks were slaughtered. Adventurers must navigate traps, undead, and a hidden evil gem.",8,"Combat, Traps, Exploration",4.0,5.0,7.0,4.0,1.0,PG-13,5.0,E014_GabrielP_Dungeonsoftheforsakenabbey.md,2026-06-28T06:42:52.077Z,deepseek/deepseek-v4-flash
15,2010,Triune Labyrinth of Insane Mutations,John Laviolette,"A testing ground for chaotic anti-druids who twist nature, this dungeon features mutated beasts, cultists, and a culture vat that produces new mutants. The labyrinth includes multi-level chambers, traps, caches, and a ever-changing gold statue.",17,"Combat, Traps, Exploration, Roleplay, Puzzles",6.0,7.0,8.0,7.5,2.0,PG-13,7.12,E015_JohnLaviolette_TriuneLabyrinthofInsaneMutations.md,2026-06-28T06:42:53.513Z,deepseek/deepseek-v4-flash
16,2010,Arena of Bloodlust,Jesse Rothacher,"A subterranean battle arena created by a cult to feed an otherworldly being, where adventurers can engage in combat, social interactions, and exploration before confronting the being in its lair. The module features seven keyed caverns with NPCs, hazards, and a final sacrifice to the entity.",7,"Combat, Social, Roleplay, Traps, Exploration",6.0,4.5,7.5,5.5,1.5,R,5.88,E016_JesseRothacher_ArenaofBloodlust.md,2026-06-28T06:43:02.585Z,deepseek/deepseek-v4-flash
17,2010,Under the Blood Moon Banner,Tim Hartin,"A motley group of monsters led by an ogre mage, Otoboru, rages from a dungeon stronghold. The party must navigate traps, monster-packed rooms, and save captives to end the threat.",14,"Combat, Traps, Exploration, Skill Challenges, Roleplay",3.0,4.0,5.5,5.5,1.0,R,4.5,E017_TimHartin_UndertheBloodMoonBanner.md,2026-06-28T06:42:54.973Z,deepseek/deepseek-v4-flash
18,2010,"Tower of Light, Tunnel of Stone",Aaron Schneider,"A dungeon set outside a tower and in a crypt beneath, where adventurers must find a lens to focus sunlight and reveal a hidden tomb. They face giant rats, a wererat, traps, and a zombified sun priest.",11,"Combat, Traps, Puzzles, Exploration",6.0,6.0,6.5,6.5,1.0,PG-13,6.25,E018_AaronSchneider_TowerofLightTunnelofStone.md,2026-06-28T06:42:59.537Z,deepseek/deepseek-v4-flash
19,2010,Laboratory of the Asmodean Techno-Mage,Peter Mullen,"This map depicts a vertical slice of a subterranean laboratory run by a dark techno-mage, with zones for combat, exploration, and strange alchemy. Adventurers must navigate three tiers filled with bizarre creatures and machinery.",6,"Combat, Exploration",6.0,4.0,8.0,8.0,2.0,PG-13,6.5,E019_PeterAMullen_LaboratoryoftheAsmodeanTechnoMage.md,2026-06-28T06:43:06.126Z,deepseek/deepseek-v4-flash
20,2010,Unnamed Cave Dungeon,Redrobes,"A cave system with tunnels, traps, and various encounters including a hermit and three witches. Adventurers must navigate hazards and decide whether to fight or parley.",14,"Combat, Traps, Exploration, Roleplay",4.0,3.0,7.0,4.0,1.0,PG-13,4.5,E020_Redrobes_ThreeWitchesandaHermit.md,2026-06-28T06:43:05.915Z,deepseek/deepseek-v4-flash
21,2010,Halls of Ksarnia,Patrice Crespy,"The Halls of Ksarnia is an old-school dungeon set in a snowy mountain pass, featuring feuding factions of ice kobolds, cavemen, and troglodytes. The party must navigate traps, monster encounters, and a cursed gem to survive.",19,"Combat, Traps, Exploration",4.5,5.0,8.0,6.5,1.0,R,6.0,E021_PatriceCrespy_HallsofKsarniaDungeon.md,2026-06-28T06:43:09.167Z,deepseek/deepseek-v4-flash
22,2010,Necromancer's Crypt,Michael Tumey,"A sprawling underground crypt built around a blood-filled chasm, ruled by Lhessadrak the Undying Pontiff. The dungeon features a gothic layout with trap corridors, a boneyard, a skull chapel, and hidden portals connecting the wings.",16,"Combat, Traps, Exploration",3.5,3.0,5.5,6.0,1.0,R,4.5,E022_MichaelKTumey_NecromancerasCrypt.md,2026-06-28T06:43:04.240Z,deepseek/deepseek-v4-flash
23,2010,Den of Villainy,Antti Hulkkonen,"A smuggler's hideout on a remote island, with a clifftop lodge and tidal caves, hides missing treasure hunters and pirate ghosts. Adventurers can infiltrate, negotiate, or raid the complex, facing rickety walkways, underwater passages, and a cunning leader.",25,"Combat, Diplomacy, Stealth, Roleplay, Traps, Exploration, Skill Challenges, Social",7.5,8.0,8.5,8.0,3.5,PG-13,8.0,E023_AnttiHulkkonen_DenofVillainy.md,2026-06-28T06:43:12.014Z,deepseek/deepseek-v4-flash
24,2010,The Bone Harvest Horror,Tom Holmes,"A three-level gothic dungeon overrun with undead, from zombie-filled catacombs to a vampiric sanctuary. Adventurers must navigate traps, ambushes, and monstrous encounters to survive.",25,"Combat, Traps, Exploration",4.5,5.0,6.0,5.0,1.0,PG-13,5.12,E024_TomHolmes_TheBoneHarvestHorror.md,2026-06-28T06:43:10.259Z,deepseek/deepseek-v4-flash
25,2010,Tomb of Orcus,Jens Thuresson,"A classic old-school dungeon dedicated to the demon prince Orcus, featuring a linear layout of natural caverns and architectural halls. Adventurers navigate traps, false doors, and statue-lined chambers to reach a central altar room.",6,"Exploration, Traps",2.5,2.0,3.0,3.5,1.0,PG-13,2.75,E025_JensThuresson_TombofOrcus.md,2026-06-28T06:43:15.438Z,deepseek/deepseek-v4-flash
